student_id,name,course,semester,attendance,previous_gpa,current_gpa,assignment_rate,internal_marks,backlogs,engagement,dropout,gpa_trend
STU0026,Ayaan Kapoor,BCA,6,88,8.37,8.38,93,87,0,79,0,0.01
STU0027,Sneha Kumar,B.Tech Electronics,1,96,8.44,8.35,95,80,1,90,0,-0.09
STU0028,Diya Malhotra,MCA,2,92,7.79,8.13,94,90,0,98,0,0.34
STU0029,Pari Malhotra,MBA,4,85,7.82,7.79,87,85,0,87,0,-0.03
STU0030,Shaurya Kapoor,MBA,1,88,8.61,8.76,99,84,0,98,0,0.15
STU0031,Kavya Sharma,B.Tech Computer Science,6,90,7.77,7.71,94,84,0,89,0,-0.06
STU0032,Pari Nair,B.Tech Computer Science,4,89,8.16,8.14,84,83,0,90,0,-0.02
STU0033,Sai Patel,B.Tech Mechanical,8,88,7.58,7.76,93,80,0,86,0,0.18
STU0034,Neha Singh,MCA,8,87,7.63,7.85,94,92,1,92,0,0.22
STU0035,Shaurya Reddy,MBA,7,80,7.73,7.98,94,89,1,98,0,0.25
STU0036,Neha Iyer,B.Tech Mechanical,5,89,8.77,9.11,95,84,0,90,0,0.34
STU0037,Riya Chatterjee,MBA,8,83,8.08,8.13,92,99,0,71,0,0.05
STU0038,Rohan Patel,BCA,1,90,7.39,7.45,97,86,0,77,0,0.06
STU0039,Rohan Chopra,MCA,1,83,8.54,8.54,93,86,0,80,0,0.0
STU0040,Vihaan Nair,B.Tech Computer Science,1,97,8.52,8.26,92,82,0,90,0,-0.26
STU0041,Arjun Malhotra,MCA,5,83,8.14,8.39,96,78,0,82,0,0.25
STU0042,Kabir Kapoor,MCA,8,84,7.87,8.37,94,78,0,91,0,0.5
STU0043,Rahul Bose,MCA,2,97,8.72,8.57,89,93,0,80,0,-0.15
STU0044,Sneha Das,B.Tech Electronics,7,89,8.59,8.55,91,72,0,77,0,-0.04
STU0045,Vihaan Mehta,B.Tech Computer Science,7,85,7.58,8.06,84,83,0,85,0,0.48
STU0046,Reyansh Nair,MCA,4,94,7.48,7.86,92,80,0,88,0,0.38
STU0047,Krishna Bose,MCA,5,87,7.9,8.06,90,86,0,89,0,0.16
STU0048,Arjun Chatterjee,MBA,2,94,7.58,8.16,82,85,0,89,0,0.58
STU0049,Neha Sharma,B.Tech Computer Science,4,88,7.89,8.0,89,82,0,90,0,0.11
STU0050,Kavya Mishra,MCA,7,88,7.85,8.18,93,90,0,89,0,0.33
STU0051,Shaurya Joshi,B.Tech Computer Science,7,82,7.92,8.22,95,85,0,85,0,0.3
STU0052,Zoya Rao,B.Tech Electronics,8,93,7.9,8.16,90,84,0,92,0,0.26
STU0053,Aadhya Iyer,B.Tech Computer Science,1,91,8.61,9.02,92,90,0,82,0,0.41
STU0054,Vihaan Verma,MBA,8,88,8.13,8.3,94,81,0,98,0,0.17
STU0055,Vikram Kumar,B.Tech Computer Science,2,81,7.59,7.97,95,89,0,89,0,0.38
STU0056,Arjun Kulkarni,B.Tech Computer Science,4,86,7.75,7.92,88,91,0,83,0,0.17
STU0057,Amit Nair,MBA,1,82,8.04,8.27,89,81,0,86,0,0.23
STU0058,Pooja Chopra,MBA,6,88,7.95,8.01,93,77,0,75,0,0.06
STU0059,Kabir Gupta,MCA,5,83,8.09,8.3,99,91,0,83,0,0.21
STU0060,Pari Chatterjee,BCA,2,86,7.7,7.85,90,87,0,79,0,0.15
STU0061,Simran Chopra,B.Tech Computer Science,2,89,8.97,9.1,94,90,0,82,0,0.13
STU0062,Deepak Reddy,MCA,6,88,8.21,8.38,88,86,0,88,0,0.17
STU0063,Ananya Das,BCA,3,94,8.68,9.26,88,91,0,86,0,0.58
STU0064,Neha Rao,MBA,1,97,7.8,7.78,89,73,0,81,0,-0.02
STU0065,Priya Rao,B.Tech Mechanical,2,83,8.28,8.5,100,91,0,80,0,0.22
STU0066,Krishna Reddy,B.Tech Computer Science,2,82,8.45,8.34,100,93,0,81,0,-0.11
STU0067,Ishaan Reddy,BCA,4,78,8.88,9.01,98,76,0,80,0,0.13
STU0068,Kabir Reddy,MBA,8,87,8.22,8.28,95,79,0,84,0,0.06
STU0069,Vihaan Patel,B.Tech Mechanical,7,87,8.46,8.75,86,76,0,93,0,0.29
STU0070,Aditya Sharma,BCA,3,88,7.83,8.29,92,93,0,85,0,0.46
STU0071,Diya Kumar,B.Tech Mechanical,8,97,9.08,9.18,96,89,0,94,0,0.1
STU0072,Sneha Kapoor,B.Tech Computer Science,2,82,8.54,8.9,83,78,0,70,0,0.36
STU0073,Ishaan Kapoor,B.Tech Computer Science,6,85,8.56,9.01,92,95,0,75,0,0.45
STU0074,Ishaan Bose,MCA,1,78,8.17,8.4,91,73,0,84,0,0.23
STU0075,Aditya Das,MCA,4,80,8.53,8.75,87,82,0,77,0,0.22
STU0076,Navya Kapoor,B.Tech Electronics,3,86,8.68,8.63,94,82,0,79,0,-0.05
STU0077,Ananya Kumar,MCA,7,86,7.68,7.72,86,97,0,85,0,0.04
STU0078,Isha Bose,B.Tech Mechanical,4,83,8.31,8.44,90,89,0,90,0,0.13
STU0079,Reyansh Joshi,B.Tech Computer Science,8,84,7.91,8.0,80,76,0,94,0,0.09
STU0080,Zoya Das,BCA,4,95,8.08,8.35,93,99,0,92,0,0.27
STU0081,Dhruv Joshi,BCA,5,86,7.72,7.55,93,81,0,75,0,-0.17
STU0082,Saanvi Das,B.Tech Mechanical,7,83,7.66,8.15,96,85,0,95,0,0.49
STU0083,Neha Gupta,B.Tech Computer Science,2,87,7.77,8.22,94,79,0,83,0,0.45
STU0084,Diya Kumar,MBA,5,82,7.51,7.85,100,77,0,88,0,0.34
STU0085,Shreya Bose,BCA,6,83,7.96,7.99,87,86,0,79,0,0.03
STU0086,Deepak Mehta,B.Tech Electronics,4,88,8.17,8.27,87,82,0,90,0,0.1
STU0087,Sneha Sharma,MBA,4,89,7.71,7.88,95,75,0,88,0,0.17
STU0088,Arjun Gupta,MBA,6,83,8.49,8.49,82,76,0,85,0,0.0
STU0089,Ayaan Rao,MBA,5,88,7.75,8.03,83,85,0,76,0,0.28
STU0090,Fatima Joshi,B.Tech Mechanical,5,83,8.22,8.2,90,92,0,80,0,-0.02
STU0091,Dhruv Bose,B.Tech Mechanical,7,91,7.64,7.9,99,72,0,79,0,0.26
STU0092,Atharva Kulkarni,MBA,5,89,8.1,8.32,88,86,0,83,0,0.22
STU0093,Aarav Rao,BCA,4,92,8.33,8.55,89,83,0,81,0,0.22
STU0094,Manish Kulkarni,B.Tech Mechanical,6,88,7.99,8.2,100,91,0,82,0,0.21
STU0095,Tanvi Iyer,MBA,8,93,8.0,7.74,86,74,0,82,0,-0.26
STU0096,Shaurya Patel,BCA,6,87,9.04,9.26,90,90,0,70,0,0.22
STU0097,Ananya Rao,MCA,4,88,8.59,8.44,97,88,0,82,0,-0.15
STU0098,Aditya Nair,B.Tech Electronics,2,90,9.34,9.53,93,83,0,79,0,0.19
STU0099,Amit Iyer,B.Tech Mechanical,7,91,7.77,7.93,89,88,0,87,0,0.16
STU0100,Ananya Singh,B.Tech Mechanical,1,92,7.94,8.04,87,83,0,87,0,0.1
STU0101,Reyansh Bose,MCA,3,90,7.74,8.06,98,88,0,98,0,0.32
STU0102,Vikram Chatterjee,B.Tech Computer Science,4,83,7.58,7.37,99,89,0,84,0,-0.21
STU0103,Ayaan Chatterjee,MCA,8,88,7.64,8.28,92,86,0,90,0,0.64
STU0104,Priya Kulkarni,BCA,8,89,8.31,8.3,94,97,0,94,0,-0.01
STU0105,Deepak Bose,MBA,8,94,7.94,7.89,91,86,0,92,0,-0.05
STU0106,Rahul Chatterjee,BCA,4,78,8.96,9.08,89,79,0,73,0,0.12
STU0107,Saanvi Malhotra,B.Tech Electronics,4,91,8.24,8.13,85,83,0,96,0,-0.11
STU0108,Arjun Rao,MCA,5,85,7.45,7.55,90,72,0,84,0,0.1
STU0109,Neha Patel,MCA,3,85,8.55,9.07,97,84,0,77,0,0.52
STU0110,Ishaan Iyer,B.Tech Computer Science,7,99,8.23,8.38,91,87,0,83,0,0.15
STU0111,Neha Chatterjee,B.Tech Electronics,1,84,7.93,8.07,89,81,0,85,0,0.14
STU0112,Pooja Joshi,MBA,1,85,8.95,8.65,97,93,0,70,0,-0.3
STU0113,Amit Joshi,B.Tech Electronics,1,85,8.01,7.88,88,79,1,97,0,-0.13
STU0114,Pari Joshi,B.Tech Electronics,4,91,8.84,9.13,86,82,0,88,0,0.29
STU0115,Saanvi Bose,B.Tech Electronics,1,80,8.56,8.66,90,90,0,88,0,0.1
STU0116,Meera Kumar,B.Tech Electronics,3,85,8.78,8.71,95,89,1,82,0,-0.07
STU0117,Neha Sharma,B.Tech Electronics,1,88,7.57,7.9,91,82,0,92,0,0.33
STU0118,Sneha Singh,B.Tech Electronics,3,83,7.5,7.34,95,78,0,97,0,-0.16
STU0119,Myra Gupta,MCA,8,76,9.05,9.24,91,82,0,87,0,0.19
STU0120,Myra Reddy,B.Tech Electronics,5,86,8.75,8.92,92,83,0,84,0,0.17
STU0121,Rahul Sharma,B.Tech Mechanical,1,88,7.34,7.22,95,87,1,83,0,-0.12
STU0122,Navya Nair,B.Tech Mechanical,2,87,8.37,8.41,88,87,0,78,0,0.04
STU0123,Aditya Sharma,MCA,4,89,7.35,7.71,94,87,0,91,0,0.36
STU0124,Simran Singh,MCA,3,95,8.71,8.49,85,82,0,85,0,-0.22
STU0125,Ayaan Chopra,MCA,8,89,7.84,8.03,88,82,0,75,0,0.19
STU0126,Riya Kumar,MBA,2,82,7.52,7.47,97,80,0,98,0,-0.05
STU0127,Shaurya Rao,B.Tech Computer Science,1,89,8.29,8.27,95,82,0,85,0,-0.02
STU0128,Amit Joshi,B.Tech Electronics,4,99,8.15,8.53,88,85,0,97,0,0.38
STU0129,Ananya Mehta,B.Tech Mechanical,5,83,9.11,9.4,89,89,0,91,0,0.29
STU0130,Shreya Mehta,MBA,1,90,7.41,7.41,90,85,0,89,0,0.0
STU0131,Sneha Das,B.Tech Computer Science,6,87,7.53,7.76,95,89,0,92,0,0.23
STU0132,Pooja Mishra,B.Tech Computer Science,7,91,8.43,8.57,83,88,1,86,0,0.14
STU0133,Zoya Singh,B.Tech Electronics,3,88,7.56,7.49,97,85,0,89,0,-0.07
STU0134,Saanvi Kulkarni,MBA,8,87,8.21,8.55,89,86,0,81,0,0.34
STU0135,Manish Reddy,BCA,4,84,8.05,8.24,89,93,0,78,0,0.19
STU0136,Sai Reddy,B.Tech Electronics,4,86,7.98,8.42,92,92,0,74,0,0.44
STU0137,Amit Kulkarni,B.Tech Mechanical,7,88,8.64,8.81,97,82,0,94,0,0.17
STU0138,Kavya Gupta,MCA,8,98,8.02,8.08,99,95,0,81,0,0.06
STU0139,Diya Gupta,BCA,5,84,8.06,7.94,87,79,0,79,0,-0.12
STU0140,Vikram Iyer,B.Tech Computer Science,4,86,8.32,8.78,87,91,0,83,0,0.46
STU0141,Kavya Kapoor,MCA,8,86,8.54,8.47,93,86,0,88,0,-0.07
STU0142,Kavya Chatterjee,B.Tech Computer Science,2,88,9.43,9.45,89,82,0,81,0,0.02
STU0143,Meera Nair,BCA,6,83,8.79,9.22,89,81,0,88,0,0.43
STU0144,Vikram Das,B.Tech Electronics,6,84,8.52,8.71,84,95,0,97,0,0.19
STU0145,Zoya Reddy,BCA,5,83,8.01,8.22,93,89,0,98,0,0.21
STU0146,Dhruv Gupta,B.Tech Computer Science,3,86,7.8,7.67,88,85,0,97,0,-0.13
STU0147,Rahul Reddy,B.Tech Mechanical,5,84,8.31,8.46,97,99,1,81,0,0.15
STU0148,Dhruv Rao,MCA,6,84,8.72,9.01,100,89,0,82,0,0.29
STU0149,Aarav Kapoor,MCA,5,89,8.75,9.06,94,92,0,93,0,0.31
STU0150,Vihaan Kapoor,BCA,3,93,8.52,8.64,92,93,0,79,0,0.12
STU0151,Kavya Mehta,B.Tech Computer Science,5,88,8.0,8.16,98,87,0,85,0,0.16
STU0152,Tanvi Gupta,MCA,1,80,8.57,8.85,100,84,0,86,0,0.28
STU0153,Rahul Mehta,B.Tech Computer Science,7,88,8.99,9.12,93,89,0,86,0,0.13
STU0154,Amit Verma,MCA,3,84,8.3,8.66,86,86,0,80,0,0.36
STU0155,Pari Patel,MCA,2,92,7.44,7.48,93,95,0,84,0,0.04
STU0156,Pooja Kulkarni,MBA,4,84,9.14,9.0,81,88,0,81,0,-0.14
STU0157,Myra Chatterjee,B.Tech Electronics,5,81,8.55,8.75,89,78,0,91,0,0.2
STU0158,Sneha Rao,MBA,1,90,8.15,8.67,86,76,0,80,0,0.52
STU0159,Reyansh Iyer,B.Tech Mechanical,4,86,8.32,8.42,93,78,0,95,0,0.1
STU0160,Sai Kumar,MCA,3,86,8.76,8.98,94,89,0,88,0,0.22
STU0161,Shaurya Sharma,B.Tech Electronics,8,90,8.86,9.05,95,85,0,95,0,0.19
STU0162,Rahul Rao,B.Tech Computer Science,4,83,9.1,9.24,84,86,0,80,0,0.14
STU0163,Aadhya Chatterjee,B.Tech Computer Science,4,91,7.87,7.93,82,83,0,70,0,0.06
STU0164,Manish Iyer,B.Tech Electronics,2,79,8.58,8.89,94,80,0,84,0,0.31
STU0165,Ishaan Reddy,MCA,2,86,7.62,8.07,96,84,0,85,0,0.45
STU0166,Pari Kulkarni,B.Tech Mechanical,5,88,7.2,7.3,88,79,0,83,0,0.1
STU0167,Zoya Rao,B.Tech Mechanical,7,95,8.52,8.56,94,94,1,91,0,0.04
STU0168,Deepak Kapoor,B.Tech Electronics,8,87,7.88,8.17,93,91,0,89,0,0.29
STU0169,Aditya Bose,B.Tech Mechanical,6,92,7.93,8.34,92,98,0,80,0,0.41
STU0170,Vivaan Patel,MCA,1,95,8.3,8.32,89,84,1,87,0,0.02
STU0171,Saanvi Chopra,B.Tech Computer Science,3,89,7.91,8.06,100,96,0,88,0,0.15
STU0172,Tanvi Reddy,MCA,7,87,8.26,8.53,86,84,0,73,0,0.27
STU0173,Kavya Patel,B.Tech Electronics,6,88,8.52,8.57,99,78,0,74,0,0.05
STU0174,Fatima Mehta,MCA,6,88,8.72,9.21,89,92,0,84,0,0.49
STU0175,Kavya Rao,B.Tech Mechanical,7,86,8.64,8.92,84,94,0,94,0,0.28
STU0176,Priya Verma,B.Tech Electronics,2,83,8.4,8.65,93,82,0,80,0,0.25
STU0177,Fatima Mehta,B.Tech Electronics,1,86,8.79,9.05,90,90,0,70,0,0.26
STU0178,Neha Chatterjee,B.Tech Electronics,1,92,7.33,7.41,86,78,0,93,0,0.08
STU0179,Riya Kulkarni,B.Tech Electronics,8,84,8.37,8.51,94,86,0,76,0,0.14
STU0180,Kabir Reddy,MBA,3,91,7.95,7.79,89,95,0,90,0,-0.16
STU0181,Tanvi Mishra,B.Tech Computer Science,1,85,8.03,8.12,100,88,1,88,0,0.09
STU0182,Shreya Nair,B.Tech Mechanical,3,92,8.32,8.42,91,85,0,84,0,0.1
STU0183,Aarav Kapoor,B.Tech Electronics,2,90,8.23,8.53,91,86,0,71,0,0.3
STU0184,Ayaan Chatterjee,B.Tech Computer Science,3,91,8.37,8.72,80,98,0,84,0,0.35
STU0185,Aadhya Malhotra,B.Tech Mechanical,5,92,7.68,7.95,86,82,0,98,0,0.27
STU0186,Rahul Mishra,MCA,8,86,8.31,8.63,94,86,0,87,0,0.32
STU0187,Myra Iyer,MBA,3,99,8.17,8.36,97,92,0,93,0,0.19
STU0188,Saanvi Bose,BCA,5,90,7.63,8.11,86,87,0,79,0,0.48
STU0189,Aadhya Rao,MBA,8,86,8.36,8.57,94,95,0,88,0,0.21
STU0190,Tanvi Kapoor,B.Tech Electronics,6,85,8.68,9.07,85,89,0,89,0,0.39
STU0191,Neha Joshi,B.Tech Electronics,6,85,8.89,9.01,92,84,0,85,0,0.12
STU0192,Ananya Chopra,B.Tech Electronics,4,81,7.48,7.95,87,80,0,70,0,0.47
STU0193,Pooja Verma,BCA,8,83,7.54,8.02,97,81,0,98,0,0.48
STU0194,Myra Joshi,B.Tech Mechanical,3,91,8.04,7.74,100,77,0,73,0,-0.3
STU0195,Aditya Singh,MBA,6,92,9.42,9.85,94,89,0,90,0,0.43
STU0196,Tanvi Mehta,MBA,8,90,8.34,8.51,91,81,0,83,0,0.17
STU0197,Ishaan Bose,B.Tech Mechanical,3,78,8.15,8.1,86,87,0,94,0,-0.05
STU0198,Diya Gupta,MBA,7,91,7.41,7.36,96,80,0,83,0,-0.05
STU0199,Isha Kapoor,B.Tech Electronics,6,89,7.72,7.89,85,82,0,87,0,0.17
STU0200,Kavya Kapoor,B.Tech Computer Science,2,79,8.42,8.57,94,87,0,94,0,0.15
STU0201,Aadhya Nair,B.Tech Mechanical,2,87,7.99,8.16,94,86,0,85,0,0.17
STU0202,Reyansh Mehta,B.Tech Electronics,3,83,7.87,7.74,100,78,0,80,0,-0.13
STU0203,Vivaan Verma,BCA,1,83,8.65,8.74,98,81,0,86,0,0.09
STU0204,Riya Bose,MCA,4,82,9.27,9.18,93,89,0,87,0,-0.09
STU0205,Amit Kumar,MCA,3,86,8.14,8.3,91,91,0,98,0,0.16
STU0206,Myra Kulkarni,B.Tech Mechanical,4,84,7.52,7.65,100,81,0,96,0,0.13
STU0207,Manish Singh,MCA,8,95,7.92,8.18,100,83,0,83,0,0.26
STU0208,Zoya Reddy,B.Tech Mechanical,1,84,7.69,7.71,85,86,0,79,0,0.02
STU0209,Zoya Rao,B.Tech Mechanical,3,88,7.42,7.64,96,74,0,87,0,0.22
STU0210,Navya Chopra,BCA,7,93,7.6,8.08,94,81,0,84,0,0.48
STU0211,Zoya Rao,MCA,7,89,8.24,8.5,87,87,0,75,0,0.26
STU0212,Reyansh Nair,B.Tech Electronics,6,86,7.75,7.75,98,92,0,89,0,0.0
STU0213,Aadhya Sharma,B.Tech Mechanical,7,81,8.04,8.43,92,99,0,87,0,0.39
STU0214,Amit Verma,MBA,8,87,8.05,8.23,91,90,0,91,0,0.18
STU0215,Aadhya Nair,MBA,6,83,7.53,7.31,94,79,0,70,0,-0.22
STU0216,Dhruv Kulkarni,BCA,3,88,9.45,9.6,96,86,0,84,0,0.15
STU0217,Aditya Rao,B.Tech Electronics,1,91,8.05,8.25,93,81,0,91,0,0.2
STU0218,Krishna Patel,BCA,6,86,7.82,8.08,87,86,0,84,0,0.26
STU0219,Atharva Iyer,MCA,6,92,8.44,8.58,96,94,0,88,0,0.14
STU0220,Saanvi Kumar,BCA,8,87,7.54,7.48,90,82,1,83,0,-0.06
STU0221,Aadhya Gupta,B.Tech Computer Science,8,87,8.46,8.6,94,86,1,71,0,0.14
STU0222,Ishaan Nair,B.Tech Mechanical,7,82,8.13,8.04,94,95,1,93,0,-0.09
STU0223,Priya Das,B.Tech Computer Science,7,85,8.95,9.13,90,82,0,82,0,0.18
STU0224,Neha Mehta,B.Tech Electronics,6,85,8.29,8.47,92,88,0,93,0,0.18
STU0225,Diya Chopra,B.Tech Electronics,6,91,7.46,7.16,96,77,0,83,0,-0.3
STU0226,Rohan Mishra,B.Tech Computer Science,6,81,7.3,7.56,95,82,0,70,0,0.26
STU0227,Rohan Patel,B.Tech Mechanical,8,84,8.4,8.25,92,85,0,89,0,-0.15
STU0228,Pari Bose,B.Tech Computer Science,3,87,7.71,8.1,91,85,0,78,0,0.39
STU0229,Aditya Rao,B.Tech Electronics,2,84,7.76,7.88,100,77,0,73,0,0.12
STU0230,Neha Singh,B.Tech Electronics,8,94,8.1,8.12,97,82,0,97,0,0.02
STU0231,Neha Bose,MBA,3,90,7.96,8.54,88,90,0,87,0,0.58
STU0232,Reyansh Mishra,MBA,7,93,8.98,9.14,88,88,0,80,0,0.16
STU0233,Saanvi Verma,B.Tech Mechanical,6,97,8.27,8.35,92,77,0,78,0,0.08
STU0234,Tanvi Nair,BCA,2,93,7.87,7.81,94,93,1,90,0,-0.06
STU0235,Riya Kapoor,B.Tech Mechanical,6,91,7.82,7.69,99,84,0,83,0,-0.13
STU0236,Saanvi Iyer,B.Tech Computer Science,8,93,8.48,8.72,100,82,0,91,0,0.24
STU0237,Kabir Kulkarni,B.Tech Computer Science,1,87,8.33,8.79,94,89,0,92,0,0.46
STU0238,Ananya Singh,MBA,4,85,7.78,7.72,82,98,0,77,0,-0.06
STU0239,Priya Iyer,MBA,4,85,8.06,8.27,96,91,0,80,0,0.21
STU0240,Rohan Gupta,MCA,1,86,8.34,8.44,100,88,0,90,0,0.1
STU0241,Ishaan Singh,MBA,5,90,8.79,8.98,85,88,0,80,0,0.19
STU0242,Ayaan Sharma,MCA,1,84,8.49,8.89,92,87,0,96,0,0.4
STU0243,Ananya Chopra,BCA,1,88,9.5,9.76,83,90,0,87,0,0.26
STU0244,Vihaan Singh,B.Tech Mechanical,7,93,8.54,8.66,85,84,0,79,0,0.12
STU0245,Arjun Mishra,B.Tech Electronics,6,84,8.49,8.97,93,78,0,88,0,0.48
STU0246,Reyansh Chatterjee,MBA,4,92,7.9,8.02,92,81,1,89,0,0.12
STU0247,Aditya Malhotra,BCA,8,86,8.41,8.38,89,90,0,82,0,-0.03
STU0248,Vivaan Verma,B.Tech Electronics,7,95,8.0,8.19,96,77,0,72,0,0.19
STU0249,Reyansh Mishra,B.Tech Mechanical,8,79,8.83,8.87,100,82,0,86,0,0.04
STU0250,Sai Gupta,MBA,3,94,9.2,9.76,98,92,0,89,0,0.56
STU0251,Saanvi Kulkarni,B.Tech Mechanical,6,90,7.92,7.91,91,84,0,81,0,-0.01
STU0252,Shreya Malhotra,BCA,8,90,8.68,8.85,99,79,0,83,0,0.17
STU0253,Sneha Mehta,B.Tech Mechanical,2,83,7.27,7.4,91,95,0,89,0,0.13
STU0254,Priya Iyer,B.Tech Electronics,8,81,9.13,9.52,94,84,0,78,0,0.39
STU0255,Pooja Gupta,B.Tech Electronics,7,85,8.74,9.27,99,83,0,77,0,0.53
STU0256,Reyansh Gupta,B.Tech Electronics,6,87,7.32,7.53,91,83,0,73,0,0.21
STU0257,Riya Singh,B.Tech Mechanical,8,89,7.93,7.85,80,85,0,97,0,-0.08
STU0258,Sai Patel,B.Tech Electronics,2,95,7.97,8.0,94,80,0,87,0,0.03
STU0259,Riya Singh,MBA,1,90,8.81,8.94,90,80,0,79,0,0.13
STU0260,Priya Kapoor,BCA,2,85,8.38,8.71,87,94,0,83,0,0.33
STU0261,Sneha Verma,BCA,5,86,7.83,7.53,96,90,0,83,0,-0.3
STU0262,Amit Malhotra,MCA,3,87,8.46,8.3,89,90,0,76,0,-0.16
STU0263,Rohan Mehta,BCA,6,88,7.52,7.76,91,76,0,93,0,0.24
STU0264,Saanvi Chopra,MCA,7,83,7.79,7.98,97,79,0,85,0,0.19
STU0265,Simran Kulkarni,B.Tech Mechanical,1,89,8.55,8.74,90,81,0,85,0,0.19
STU0266,Saanvi Sharma,MCA,5,81,7.2,7.44,96,72,0,77,0,0.24
STU0267,Pari Gupta,BCA,1,90,9.23,9.38,88,84,0,94,0,0.15
STU0268,Ishaan Chopra,B.Tech Mechanical,7,83,7.8,7.85,87,86,0,96,0,0.05
STU0269,Vivaan Patel,B.Tech Mechanical,4,88,8.07,8.16,84,91,0,84,0,0.09
STU0270,Zoya Gupta,MCA,6,86,9.8,10.0,88,83,0,93,0,0.2
STU0271,Fatima Chopra,MBA,2,87,7.48,7.81,88,97,0,92,0,0.33
STU0272,Ishaan Kumar,MBA,1,84,8.84,9.0,96,88,0,79,0,0.16
STU0273,Saanvi Chatterjee,B.Tech Mechanical,7,83,8.71,8.79,89,80,0,87,0,0.08
STU0274,Tanvi Bose,BCA,4,97,7.67,7.82,99,85,0,88,0,0.15
STU0275,Ayaan Das,B.Tech Electronics,2,81,8.41,8.52,96,93,0,98,0,0.11
STU0276,Manish Mishra,MBA,5,89,8.36,8.55,90,88,0,82,0,0.19
STU0277,Meera Kulkarni,B.Tech Computer Science,1,87,8.86,8.81,97,93,0,84,0,-0.05
STU0278,Kabir Singh,BCA,5,76,7.9,8.31,91,80,0,81,0,0.41
STU0279,Aarav Mishra,B.Tech Mechanical,7,91,8.47,8.57,90,83,0,78,0,0.1
STU0280,Myra Kapoor,B.Tech Mechanical,4,95,8.04,8.43,99,91,0,81,0,0.39
STU0281,Navya Patel,B.Tech Electronics,1,89,8.19,8.16,93,78,0,93,0,-0.03
STU0282,Zoya Patel,BCA,7,84,8.3,8.51,90,89,0,81,0,0.21
STU0283,Pooja Rao,B.Tech Computer Science,7,91,7.53,7.71,100,79,0,80,0,0.18
STU0284,Fatima Kumar,MBA,8,89,8.29,8.51,94,89,0,92,0,0.22
STU0285,Riya Patel,B.Tech Electronics,2,89,8.08,8.36,100,85,0,78,0,0.28
STU0286,Manish Joshi,MBA,2,92,8.14,7.86,96,82,0,84,0,-0.28
STU0287,Pari Gupta,MCA,6,88,8.3,8.59,89,89,0,83,0,0.29
STU0288,Arjun Malhotra,B.Tech Mechanical,2,90,8.51,8.47,97,82,0,90,0,-0.04
STU0289,Dhruv Das,BCA,3,88,9.12,9.23,90,85,0,82,0,0.11
STU0290,Ishaan Reddy,MCA,3,90,7.39,7.33,86,91,0,96,0,-0.06
STU0291,Arjun Kumar,B.Tech Mechanical,8,86,8.12,8.28,97,80,0,86,0,0.16
